payer,receiver,amount
276292,1027121,31421.69
177559,232710,81013.76
435287,82574,67862.82
43895,589147,49873.39
268347,937807,33659.32
32030,1243708,67810.81
21872,263818,69936.63
186652,148992,32164.57
308898,1030526,35176.04
455817,15558,28616.76
26051,21878,107873.72
376510,203408,31865.74
1091580,1208065,25965.24
321199,243948,50870.89
94599,45088,29198.3
22882,1243708,26202.33
253448,427042,35040.68
234687,1161183,31038.62
232533,1250575,47732.15
67526,157025,36256.04
18814,236488,31335.96
238100,124127,66438.76
8943,145525,44962.76
57120,78426,29785.73
16816,1277367,33739.63
182021,720393,32802.73
221992,962864,29774.68
811655,126540,80520.49
211153,613136,49400.96
231497,413097,75281.35
232533,1177685,25867.31
52293,215662,26850.01
308889,952902,69314.38
22354,963584,76817.41
390262,1270813,27928.03
919402,134496,94538.07
829858,342762,26704.12
215906,28985,30448.38
10043,967161,71423.86
27989,218822,24201.7
161670,423404,22485.45
241025,1454451,77152.74
259581,1482833,28523.08
1214160,947038,34996.78
214258,341306,46819.97
9865,1315486,30792.39
137957,48170,31521.97
44569,1104881,26693.99
112907,971867,30286
543203,249696,46461
201802,242886,37893.69
275606,1304231,28679.36
418080,94539,33897.87
537223,243869,30283.51
209375,1031184,37127.95
116999,1114355,30778.72
381132,9465,22691.06
21872,250726,28565.3
64156,987843,29420.39
176906,5245,52885.98
260431,957355,71976.74
130770,1252957,32513.26
3383,276415,92874.68
99906,41016,37316.5
105792,1142864,33810.78
296743,1070133,31898.53
253615,144501,27614.9
117081,977458,34885.29
162591,1303826,32447.01
276485,613136,30788.72
694328,1149019,47116.16
57216,28465,29230.85
236714,977115,30711.09
62320,588871,33238.55
141168,177250,8050.26
257141,607856,38227.11
49872,560350,34326.59
147217,298165,54904.11
229410,996563,36156.47
222336,211740,26774.58
268897,1234089,36150.41
688692,156521,75133.75
124089,1062555,29824.51
133383,890964,32067.03
276167,915222,60527.3
133383,31329,25199.27
511628,1299952,116015.16
75010,1415694,32670.27
74803,1498894,34296.59
1553354,1274921,28701.04
232484,1084796,98243.93
35048,1027361,61498.65
217478,249965,74580.61
527662,1062220,30922.67
111894,1070190,78082.89
41135,1117908,41480.91
1214160,946879,42650.01
176054,110024,74118.43
381132,1196173,32190.49
92202,1190940,35087.99
240367,1199242,35081.27
160856,383796,30235.09
79486,1536045,62686.33
28029,144501,70851.8
339289,373201,57924.83
31787,1229580,53521.21
217593,120330,27356.36
260187,162346,68056.77
321619,125408,95747.09
136217,795051,79016.17
174941,1163389,29204.31
14589,957074,36775.3
212435,812627,35117.48
237051,1178111,93994.29
170254,1250618,71496.53
327420,124289,98308.16
